"","currency","amount","dorms","bath","age","loft","m2","backside","office","amount_normalized"
"266","USD",29000015000,2,1,19.5,FALSE,74,FALSE,FALSE,5.800003e+12
"267","USD",960008100,1,1,25.5,FALSE,33,FALSE,FALSE,192001620000
"268","USD",530003000,1,1,30.5,FALSE,23,FALSE,FALSE,106000600000
"269","USD",23700020000,3,3,31.5,FALSE,NA,FALSE,FALSE,4.740004e+12
"270","USD",15500011000,2,2,2,FALSE,75,FALSE,FALSE,3100002200000
"271","USD",85000055000,4,3,22,FALSE,265,FALSE,FALSE,1.7000011e+13
"272","USD",2e+05,1,1,28.5,FALSE,84,FALSE,FALSE,4e+07
"273","USD",1750008000,1,1,16.5,FALSE,90,FALSE,FALSE,350001600000
"274","USD",39000035000,4,3,3,FALSE,162,FALSE,FALSE,7.800007e+12
"275","USD",549000,3,3,27,FALSE,223,FALSE,FALSE,109800000
"276","USD",8200013000,1,1,1,FALSE,40,FALSE,FALSE,1640002600000
"277","USD",47000016300,3,2,25,FALSE,155,FALSE,FALSE,9400003260000
"278","USD",1300000125000,5,4,37,FALSE,486,FALSE,FALSE,2.60000025e+14
"279","USD",22000020,2,1,20.5,FALSE,75,FALSE,FALSE,4400004000
"280","USD",1050008900,1,1,30,FALSE,60,FALSE,FALSE,210001780000
"281","USD",43000030000,5,4,32,FALSE,327,FALSE,FALSE,8.600006e+12
"282","USD",38999035000,NA,2,41,TRUE,232,FALSE,FALSE,7.799807e+12
"283","USD",35000023000,4,2,13.5,FALSE,117,FALSE,FALSE,7000004600000
"284","USD",670008000,1,1,1,FALSE,34,FALSE,FALSE,134001600000
"285","USD",48500035000,4,3,11.5,FALSE,174,FALSE,FALSE,9.700007e+12
"286","USD",16000013000,2,1,23,FALSE,77,FALSE,FALSE,3200002600000
"287","USD",37000013891,3,3,3,FALSE,175,FALSE,FALSE,7400002778200
"288","USD",950005800,1,1,30.5,FALSE,33,FALSE,FALSE,190001160000
"289","USD",57500,NA,NA,NA,TRUE,32,FALSE,FALSE,11500000
"290","USD",20000021805,2,1,15.5,FALSE,65,FALSE,FALSE,4000004361000
"291","USD",68000,1,1,23,FALSE,37,FALSE,FALSE,13600000
"292","USD",380000,2,2,28.5,FALSE,130,FALSE,FALSE,7.6e+07
"293","USD",8300015000,1,1,25.5,FALSE,NA,FALSE,FALSE,1.660003e+12
"294","USD",700005900,2,1,1,FALSE,34,FALSE,FALSE,140001180000
"295","USD",25500015000,2,3,26.5,FALSE,129,FALSE,FALSE,5.100003e+12
"296","USD",830008000,1,1,20.5,FALSE,44,FALSE,FALSE,166001600000
"297","USD",9500010000,1,1,25.5,FALSE,40,FALSE,FALSE,1.900002e+12
"298","USD",1780000113338,5,5,17.5,FALSE,423,FALSE,FALSE,356000022667600
"299","USD",1100008000,1,2,41,FALSE,58,FALSE,FALSE,220001600000
"300","USD",395000,3,3,3,FALSE,140,FALSE,FALSE,7.9e+07
"301","USD",21500017000,3,2,2,FALSE,125,FALSE,FALSE,4300003400000
"302","USD",17500017500,2,2,26,FALSE,99,FALSE,FALSE,3500003500000
"303","USD",1100004300,NA,1,7,TRUE,31,FALSE,FALSE,220000860000
"304","USD",12900013500,1,1,5.5,FALSE,44,FALSE,FALSE,2580002700000
"305","USD",430004500,NA,1,20.5,TRUE,24,FALSE,FALSE,86000900000
"306","ARS",75000,3,3,16.5,FALSE,318,FALSE,FALSE,75000
"307","USD",87500074000,4,4,37,FALSE,340,FALSE,FALSE,17500014800000
"308","USD",650003600,NA,1,20.5,TRUE,28,FALSE,FALSE,130000720000
"309","USD",18500012000,2,2,6,FALSE,80,FALSE,FALSE,3700002400000
"310","USD",689005000,NA,1,23,TRUE,27,FALSE,FALSE,1.37801e+11
"311","USD",17000014750,2,1,25.5,FALSE,70.6,FALSE,FALSE,3400002950000
"312","USD",34000036221,3,2,21,FALSE,112,FALSE,FALSE,6800007244200
"313","USD",23500013000,3,2,8.5,FALSE,102,FALSE,FALSE,4700002600000
"314","USD",17900012000,2,2,24.5,FALSE,70,FALSE,FALSE,3580002400000
"315","USD",35000034000,4,NA,35,FALSE,132,FALSE,FALSE,7000006800000
"316","USD",210000,2,2,2,FALSE,70,FALSE,FALSE,4.2e+07
"317","USD",530005900,NA,1,18,TRUE,28,FALSE,FALSE,106001180000
"318","USD",1100008000,1,2,41,FALSE,58,FALSE,FALSE,220001600000
"319","USD",27000017500,2,1,25.5,FALSE,89,FALSE,FALSE,5400003500000
"320","USD",65000059000,3,3,31.5,FALSE,230,FALSE,FALSE,13000011800000
"321","USD",1050003185,1,1,1,FALSE,47,FALSE,FALSE,210000637000
"322","USD",18000011000,3,1,20.5,FALSE,76,FALSE,FALSE,3600002200000
"323","USD",13000011000,2,1,19,FALSE,50,FALSE,FALSE,2600002200000
"324","USD",8000010000,1,1,35.5,FALSE,49,FALSE,FALSE,1.600002e+12
"325","USD",236900,2,NA,NA,FALSE,102,FALSE,FALSE,47380000
"326","USD",397000,3,2,28.5,FALSE,134,FALSE,FALSE,79400000
"327","USD",1790009968,2,1,25.5,FALSE,85,FALSE,FALSE,358001993600
"328","USD",55000019000,3,4,37,FALSE,227,FALSE,FALSE,11000003800000
"329","USD",25000023800,3,2,23.5,FALSE,115,FALSE,FALSE,5000004760000
"330","USD",13000012000,1,1,9.5,FALSE,49,FALSE,FALSE,2600002400000
"331","USD",139000060000,3,4,4,FALSE,260,FALSE,FALSE,2.7800012e+13
"332","USD",17400027000,2,1,15.5,FALSE,66,FALSE,FALSE,3480005400000
"333","USD",32000021100,4,1,20.5,FALSE,118,FALSE,FALSE,6400004220000
"334","USD",1350003300,1,1,20.5,FALSE,59,FALSE,FALSE,270000660000
"335","USD",198000,3,1,1,FALSE,NA,FALSE,FALSE,39600000
"336","USD",75000,NA,1,5.5,TRUE,25,FALSE,FALSE,1.5e+07
"337","USD",12480012000,2,1,23,FALSE,53,FALSE,FALSE,2496002400000
"338","USD",478007400,NA,1,1,TRUE,20,FALSE,FALSE,95601480000
"339","ARS",65000,6,5,42.5,FALSE,550,FALSE,FALSE,65000
